Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x03_Socket","PinHeader_1x03_P2.54mm_Vertical",134.910000,-92.420000,180.000000,top
"J2","Conn_01x09_Socket","PinHeader_1x09_P2.54mm_Vertical",129.940000,-67.720000,0.000000,top
"J3","Conn_01x07_Socket","PinHeader_1x07_P2.54mm_Vertical",134.940000,-67.720000,0.000000,top
"J4","Conn_01x09_Socket","PinHeader_1x09_P2.54mm_Vertical",139.940000,-67.720000,0.000000,top
