Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x19_Socket","PinHeader_1x19_P2.54mm_Vertical",80.000000,-102.860000,90.000000,top
"J2","Conn_01x19_Socket","PinHeader_1x19_P2.54mm_Vertical",80.000000,-80.000000,90.000000,top
"J3","Conn_01x03_Socket","PinHeader_1x03_P2.54mm_Vertical",110.310000,-118.580000,90.000000,top
"J4","Conn_01x09_Socket","PinHeader_1x09_P2.54mm_Vertical",135.200000,-82.420000,0.000000,top
"J5","Conn_01x01_Socket","PinHeader_1x01_P2.54mm_Vertical",75.000000,-107.860000,0.000000,top
"J6","Conn_01x01_Socket","PinHeader_1x01_P2.54mm_Vertical",80.675000,-107.860000,0.000000,top
"J7","Conn_01x01_Socket","PinHeader_1x01_P2.54mm_Vertical",94.425000,-113.360000,0.000000,top
"J8","Conn_01x01_Socket","PinHeader_1x01_P2.54mm_Vertical",94.425000,-119.400000,0.000000,top
